t [hr],θ_obs [°C]
0.0,6.54
0.17206416666666666,8.73
0.3836194444444444,10.71
0.49080805555555557,11.62
0.9929019444444445,14.18
1.3229305555555555,15.33
1.830666111111111,16.61
2.7022786111111112,17.66
4.107020555555556,18.43
8.087124166666667,18.7
8.293040555555555,18.57
