"Time [ms]","Temp [C]"
4163423,15.73
4173577,15.70
4183732,15.73
4193887,15.73
4204041,15.77
4214196,15.73
4224351,15.77
4234506,15.77
4244660,15.80
4254815,15.77
4264970,15.80
4275124,15.80
4285279,15.84
4295434,15.84
4305589,15.87
4315743,15.87
4325898,15.87
4336053,15.87
4346207,15.87
4356362,15.90
4366517,15.90
4376672,15.90
4386826,15.90
4396981,15.90
4407136,15.94
4417290,15.94
4427445,15.97
4437600,15.94
4447755,15.97
4457909,15.97
4468064,15.97
4478219,16.00
4488373,16.00
4498528,16.00
4508683,16.04
4518837,16.00
4528992,16.04
4539147,16.04
4549302,16.07
4559456,16.07
4569611,16.07
4579766,16.07
4589920,16.11
4600075,16.07
4610230,16.11
4620385,16.11
4630539,16.11
4640694,16.14
4650849,16.14
4661003,16.14
4671158,16.14
4681313,16.17
4691467,16.17
4701622,16.17
4711777,16.17
4721932,16.21
4732086,16.17
4742241,16.21
4752396,16.24
4762551,16.24
4772705,16.24
4782860,16.24
4793015,16.24
4803169,16.27
4813324,16.27
4823479,16.27
4833633,16.31
4843788,16.31
4853943,16.31
4864098,16.31
4874252,16.34
4884407,16.34
4894562,16.34
4904716,16.34
4914871,16.34
4925026,16.38
4935181,16.38
4945335,16.38
4955490,16.38
4965645,16.41
4975799,16.41
4985954,16.41
4996109,16.41
5006264,16.44
5016418,16.44
5026573,16.44
5036728,16.44
5046882,16.48
5057037,16.48
5067192,16.48
5077347,16.51
5087501,16.51
5097656,16.51
5107811,16.51
5117965,16.51
5128120,16.54
5138275,16.54
5148430,16.54
5158584,16.54
5168739,16.58
5178894,16.58
5189048,16.58
5199203,16.58
5209358,16.61
5219513,16.61
5229667,16.61
5239822,16.61
5249977,16.65
5260131,16.65
5270286,16.65
5280441,16.65
5290595,16.68
5300750,16.68
5310905,16.68
5321060,16.71
5331214,16.71
5341369,16.71
5351524,16.71
5361679,16.71
5371833,16.71
5381988,16.75
5392143,16.75
5402297,16.75
5412452,16.75
5422607,16.78
5432762,16.81
5442916,16.78
5453071,16.81
5463226,16.78
5473380,16.81
5483535,16.81
