Time [ms],Temp [C]
4173571,15.23
4183726,15.26
4193881,15.26
4204036,15.3
4214190,15.3
4224345,15.33
4234500,15.36
4244654,15.36
4254809,15.36
4264964,15.4
4275119,15.4
4285273,15.4
4295428,15.43
4305583,15.43
4315737,15.46
4325892,15.5
4336047,15.5
4346202,15.53
4356356,15.57
4366511,15.57
4376666,15.6
4386820,15.63
4396975,15.63
4407130,15.67
4417284,15.67
4427439,15.7
4437594,15.7
4447749,15.73
4457903,15.73
4468058,15.77
4478213,15.77
4488367,15.8
4498522,15.84
4508677,15.84
4518832,15.84
4528986,15.87
4539141,15.87
4549296,15.9
4559450,15.9
4569605,15.94
4579760,15.94
4589915,16
4600069,16
4610224,16
4620379,16.04
4630533,16.04
4640688,16.07
4650843,16.11
4660997,16.11
4671152,16.11
4681307,16.14
4691462,16.17
4701616,16.17
4711771,16.21
4721926,16.21
4732080,16.21
4742235,16.24
4752390,16.27
4762545,16.27
4772699,16.31
4782854,16.31
4793009,16.34
4803163,16.34
4813318,16.38
4823473,16.38
4833628,16.41
4843782,16.41
4853937,16.44
4864092,16.44
4874246,16.48
4884401,16.48
4894556,16.51
4904711,16.51
4914865,16.51
4925020,16.54
4935175,16.58
4945329,16.61
4955484,16.61
4965639,16.61
4975795,16.65
4985948,16.65
4996103,16.65
5006259,16.68
5016412,16.68
5026567,16.68
5036723,16.71
5046878,16.75
5057031,16.75
5067187,16.75
5077342,16.78
5087495,16.81
5097651,16.81
5107806,16.85
5117961,16.85
5128115,16.88
5138270,16.88
5148425,16.92
5158579,16.92
5168734,16.95
5178889,16.95
5189043,16.98
5199198,16.98
5209353,17.02
5219508,17.02
5229662,17.05
5239817,17.05
5249972,17.08
5260126,17.08
5270281,17.12
5280436,17.12
5290591,17.15
5300745,17.19
5310900,17.19
5321055,17.19
5331209,17.19
5341364,17.22
5351519,17.22
5361674,17.25
5371828,17.25
5381983,17.32
5392138,17.29
5402292,17.32
5412447,17.35
5422602,17.35
5432757,17.35
5442911,17.39
5453066,17.39
5463221,17.39
5473375,17.42
5483530,17.42
5493685,17.42
5503840,17.46
5513994,17.46
5524149,17.49
5534304,17.52
5544458,17.52
5554613,17.52
5564768,17.52
5574923,17.56
5585077,17.56
5595232,17.59
5605387,17.59
5615541,17.62
5625696,17.62
5635851,17.66
5646005,17.66
5656160,17.66
5666315,17.66
5676470,17.69
5686624,17.73
5696779,17.73
5706934,17.73
5717088,17.79
5727243,17.76
5737398,17.79
5747553,17.79
5757707,17.83
5767862,17.83
5778017,17.86
5788171,17.86
5798326,17.86
5808481,17.86
5818636,17.86
5828790,17.89
5838945,17.89
5849100,17.89
5859254,17.93
5869409,17.96
5879564,17.96
5889719,17.96
5899873,18
5910028,18
5920183,18
5930337,18.03
5940492,18.03
5950647,18.03
5960802,18.06
5970956,18.06
5981111,18.06
5991266,18.06
6001420,18.1
6011575,18.1
6021730,18.13
6031884,18.13
6042039,18.13
6052194,18.13
6062349,18.16
6072503,18.2
6082658,18.2
6092813,18.2
6102967,18.23
6113122,18.23
6123277,18.23
6133432,18.27
6143586,18.27
6153741,18.3
6163896,18.3
6174050,18.33
6184205,18.33
6194360,18.33
6204515,18.37
6214669,18.37
6224824,18.37
6234979,18.4
6245133,18.4
6255288,18.4
6265443,18.43
6275598,18.43
6285752,18.43
6295907,18.47
6306062,18.43
6316216,18.5
6326371,18.5
6336526,18.5
6346681,18.54
6356835,18.54
6366990,18.54
6377145,18.57
6387299,18.57
6397454,18.6
6407609,18.6
6417764,18.64
6427918,18.6
6438073,18.64
6448228,18.64
6458382,18.67
6468537,18.64
6478692,18.67
6488847,18.67
6499001,18.7
6509156,18.7
6519311,18.74
6529465,18.74
6539620,18.74
6549775,18.74
6559930,18.77
6570084,18.77
6580239,18.77
6590394,18.81
6600548,18.81
6610703,18.81
6620858,18.84
6631013,18.84
6641167,18.84
6651322,18.87
6661477,18.87
6671631,18.91
6681786,18.91
6691941,18.91
6702096,18.91
6712250,18.94
6722405,18.94
6732560,18.94
6742714,18.94
6752869,18.97
6763024,18.97
6773178,18.97
6783333,18.97
6793488,19.01
6803643,19.01
6813797,19.04
6823952,19.04
6834107,19.08
6844261,19.04
6854416,19.08
6864571,19.08
6874726,19.08
6884880,19.11
6895035,19.11
6905190,19.14
6915344,19.14
6925499,19.14
6935654,19.14
6945809,19.14
6955963,19.18
6966118,19.18
6976273,19.21
6986427,19.21
6996582,19.21
7006737,19.21
7016892,19.24
7027046,19.24
7037201,19.28
7047356,19.24
7057510,19.28
7067665,19.31
7077820,19.28
7087974,19.28
7098129,19.31
7108284,19.35
7118439,19.35
7128593,19.35
7138748,19.35
7148903,19.35
7159057,19.38
7169212,19.38
7179367,19.38
7189522,19.41
7199676,19.41
7209831,19.41
7219986,19.41
7230140,19.45
7240295,19.45
7250450,19.45
7260605,19.45
7270759,19.48
7280914,19.48
7291069,19.48
7301223,19.48
7311378,19.51
7321533,19.51
7331688,19.51
7341842,19.55
7351997,19.55
7362152,19.55
7372306,19.55
7382461,19.58
7392616,19.58
7402770,19.58
7412925,19.58
7423080,19.62
7433235,19.62
7443389,19.62
7453544,19.65
7463699,19.65
7473853,19.65
7484008,19.68
7494163,19.68
7504318,19.68
7514472,19.68
7524627,19.68
7534782,19.72
7544936,19.72
7555091,19.72
7565246,19.75
7575401,19.75
7585555,19.75
7595710,19.78
7605865,19.78
7616019,19.78
7626174,19.82
7636329,19.82
7646484,19.82
7656638,19.85
7666793,19.85
7676948,19.85
7687102,19.85
7697257,19.89
7707412,19.89
7717567,19.89
7727721,19.89
7737876,19.92
7748031,19.92
7758185,19.92
7768340,19.92
7778495,19.92
7788649,19.95
7798804,19.95
7808959,19.99
7819114,19.99
7829268,19.99
7839423,20.02
7849578,19.99
7859732,20.02
7869887,20.02
7880042,20.06
7890197,20.06
7900351,20.06
7910506,20.06
7920661,20.06
7930815,20.09
7940970,20.06
7951125,20.09
7961279,20.09
7971434,20.12
7981589,20.12
7991744,20.12
8001898,20.12
8012053,20.16
8022208,20.12
8032362,20.12
8042517,20.16
8052672,20.19
8062827,20.19
8072981,20.19
8083136,20.19
8093291,20.22
8103445,20.22
8113600,20.22
8123755,20.22
8133909,20.22
8144064,20.22
8154219,20.26
8164374,20.26
8174528,20.26
8184683,20.26
8194838,20.29
8204993,20.29
8215147,20.33
8225302,20.33
8235457,20.33
8245611,20.33
8255766,20.33
8265921,20.33
8276075,20.36
8286230,20.33
8296385,20.33
8306540,20.36
8316694,20.36
8326849,20.39
8337004,20.39
8347158,20.39
8357313,20.43
8367468,20.43
8377623,20.43
8387777,20.43
8397932,20.43
8408087,20.43
8418241,20.46
