Time [ms],Temp [C]
4173572,15.8
4183726,15.8
4193881,15.84
4204036,15.84
4214190,15.84
4224345,15.87
4234500,15.87
4244655,15.87
4254809,15.9
4264964,15.9
4275119,15.94
4285273,15.94
4295428,15.94
4305583,15.94
4315737,15.94
4325892,15.97
4336047,15.97
4346202,16
4356356,16
4366511,16
4376666,16.04
4386820,16.04
4396975,16.04
4407130,16.04
4417285,16.07
4427439,16.07
4437594,16.11
4447749,16.11
4457903,16.11
4468058,16.14
4478213,16.11
4488368,16.14
4498522,16.14
4508677,16.17
4518832,16.17
4528986,16.17
4539141,16.21
4549296,16.21
4559451,16.21
4569605,16.21
4579760,16.24
4589915,16.24
4600069,16.27
4610224,16.27
4620379,16.27
4630534,16.31
4640688,16.31
4650843,16.31
4660998,16.31
4671152,16.34
4681307,16.34
4691462,16.34
4701616,16.38
4711771,16.34
4721926,16.38
4732081,16.41
4742235,16.41
4752390,16.41
4762545,16.41
4772700,16.44
4782854,16.44
4793009,16.44
4803164,16.44
4813318,16.48
4823473,16.48
4833628,16.48
4843782,16.48
4853937,16.51
4864092,16.51
4874247,16.51
4884401,16.54
4894556,16.54
4904711,16.54
4914865,16.54
4925020,16.58
4935175,16.58
4945331,16.58
4955484,16.58
4965639,16.61
4975795,16.61
4985948,16.65
4996103,16.65
5006259,16.65
5016414,16.65
5026567,16.68
5036723,16.68
5046878,16.68
5057031,16.71
5067187,16.71
5077342,16.71
5087495,16.71
5097651,16.75
5107806,16.75
5117961,16.75
5128115,16.75
5138270,16.75
5148425,16.78
5158579,16.78
5168734,16.81
5178889,16.81
5189044,16.81
5199198,16.81
5209353,16.85
5219508,16.85
5229663,16.85
5239817,16.85
5249972,16.88
5260127,16.88
5270281,16.88
5280436,16.88
5290591,16.88
5300746,16.92
5310900,16.92
5321055,16.92
5331210,16.95
5341364,16.95
5351519,16.95
5361674,16.98
5371829,16.98
5381983,16.98
5392138,16.98
5402293,16.98
5412447,16.98
5422602,17.02
5432757,17.05
5442911,17.05
5453066,17.05
5463221,17.08
5473376,17.05
5483530,17.08
5493685,17.08
5503840,17.12
5513994,17.08
5524149,17.12
5534304,17.12
5544459,17.15
5554613,17.15
5564768,17.15
5574923,17.19
5585077,17.15
5595232,17.19
5605387,17.19
5615542,17.22
5625696,17.19
5635851,17.22
5646006,17.22
5656160,17.22
5666315,17.22
5676470,17.25
5686625,17.25
5696779,17.25
5706934,17.25
5717089,17.29
5727243,17.29
5737398,17.29
5747553,17.29
5757707,17.32
5767862,17.32
5778017,17.32
5788172,17.32
5798326,17.32
5808481,17.32
5818636,17.32
5828790,17.35
5838945,17.35
5849100,17.39
5859255,17.35
5869409,17.39
5879564,17.39
5889719,17.42
5899873,17.42
5910028,17.42
5920183,17.42
5930338,17.42
5940492,17.46
5950647,17.46
5960802,17.46
5970956,17.46
5981111,17.46
5991266,17.46
6001421,17.49
6011575,17.49
6021730,17.49
6031885,17.52
6042039,17.52
6052194,17.52
6062349,17.56
6072503,17.52
6082658,17.56
6092813,17.56
6102968,17.56
6113122,17.59
6123277,17.59
6133432,17.59
6143586,17.62
6153741,17.59
6163896,17.62
6174051,17.62
6184205,17.62
6194360,17.62
6204515,17.66
6214669,17.66
6224824,17.66
6234979,17.69
6245134,17.66
6255288,17.69
6265443,17.69
6275598,17.69
6285752,17.69
6295907,17.73
6306062,17.73
6316217,17.73
6326371,17.76
6336526,17.73
6346681,17.76
6356835,17.76
6366990,17.76
6377145,17.76
6387300,17.76
6397454,17.79
6407609,17.83
6417764,17.79
6427918,17.83
6438073,17.83
6448228,17.83
6458383,17.83
6468537,17.83
6478692,17.86
6488847,17.86
6499001,17.86
6509156,17.86
6519311,17.86
6529466,17.89
6539620,17.89
6549775,17.89
6559930,17.89
6570084,17.89
6580239,17.93
6590394,17.93
6600548,17.93
6610703,17.93
6620858,17.96
6631013,17.93
6641167,17.96
6651322,17.96
6661477,18
6671631,18
6681786,18
6691941,18
6702096,18
6712250,18
6722405,18.03
6732560,18.03
6742714,18.03
6752869,18.03
6763024,18.06
6773179,18.06
6783333,18.06
6793488,18.06
6803643,18.06
6813797,18.1
6823952,18.1
6834107,18.1
6844261,18.1
6854416,18.1
6864571,18.13
6874726,18.13
6884880,18.13
6895035,18.13
6905190,18.16
6915344,18.13
6925499,18.16
6935654,18.16
6945809,18.16
6955963,18.16
6966118,18.16
6976273,18.2
6986427,18.2
6996582,18.2
7006737,18.2
7016892,18.2
7027046,18.2
7037201,18.23
7047356,18.23
7057510,18.23
7067665,18.23
7077820,18.23
7087974,18.23
7098129,18.27
7108284,18.27
7118439,18.27
7128593,18.27
7138748,18.3
7148903,18.27
7159058,18.3
7169212,18.3
7179367,18.3
7189522,18.3
7199676,18.3
7209831,18.33
7219986,18.33
7230141,18.33
7240295,18.33
7250450,18.37
7260605,18.37
7270759,18.37
7280914,18.37
7291069,18.37
7301224,18.37
7311378,18.37
7321533,18.37
7331688,18.4
7341842,18.4
7351997,18.4
7362152,18.4
7372306,18.4
7382461,18.43
7392616,18.43
7402771,18.43
7412925,18.43
7423080,18.43
7433235,18.43
7443389,18.47
7453544,18.47
7463699,18.47
7473854,18.5
7484008,18.47
7494163,18.5
7504318,18.5
7514472,18.5
7524627,18.5
7534782,18.5
7544937,18.54
7555091,18.5
7565246,18.5
7575401,18.54
7585555,18.54
7595710,18.54
7605865,18.54
7616020,18.57
7626174,18.57
7636329,18.57
7646484,18.57
7656638,18.57
7666793,18.57
7676948,18.6
7687103,18.57
7697257,18.6
7707412,18.57
7717567,18.6
7727721,18.6
7737876,18.6
7748031,18.6
7758185,18.64
7768340,18.64
7778495,18.64
7788650,18.64
7798804,18.64
7808959,18.67
7819114,18.67
7829268,18.67
7839423,18.67
7849578,18.67
7859733,18.67
7869887,18.67
7880042,18.67
7890197,18.7
7900351,18.7
7910506,18.7
7920661,18.7
7930816,18.74
7940970,18.7
7951125,18.74
7961280,18.74
7971434,18.74
7981589,18.74
7991744,18.74
8001899,18.77
8012053,18.74
8022208,18.77
8032363,18.77
8042517,18.77
8052672,18.77
8062827,18.77
8072981,18.81
8083136,18.81
8093291,18.81
8103446,18.77
8113600,18.81
8123755,18.84
8133910,18.81
8144064,18.84
8154219,18.84
8164374,18.84
8174529,18.84
8184683,18.84
8194838,18.87
8204993,18.87
8215147,18.87
8225302,18.87
8235457,18.87
8245612,18.87
8255766,18.87
8265921,18.91
8276076,18.91
8286230,18.87
8296385,18.91
8306540,18.94
8316694,18.91
8326849,18.91
8337004,18.91
8347159,18.91
8357313,18.94
8367468,18.94
8377623,18.94
8387777,18.94
8397932,18.94
8408087,18.97
8418242,18.94
8428396,18.97
8438551,18.97
8448706,18.97
8458860,18.97
8469015,18.97
8479170,18.97
8489325,19.01
8499479,19.01
8509634,19.01
8519789,19.01
8529943,19.04
8540098,19.01
8550253,19.04
8560408,19.04
8570562,19.04
8580717,19.04
8590872,19.04
8601026,19.04
8611181,19.04
8621336,19.08
8631491,19.08
8641645,19.08
8651800,19.08
8661955,19.08
8672109,19.11
8682264,19.08
8692419,19.08
8702573,19.11
8712728,19.08
8722883,19.11
8733038,19.11
8743192,19.11
8753347,19.11
8763502,19.11
8773656,19.11
8783811,19.11
8793966,19.14
8804121,19.14
8814275,19.14
8824430,19.14
8834585,19.14
8844739,19.14
8854894,19.18
8865049,19.18
8875204,19.18
8885358,19.18
8895513,19.18
8905668,19.18
8915822,19.21
8925977,19.21
8936132,19.21
8946287,19.21
8956441,19.21
8966596,19.21
8976751,19.21
8986905,19.21
8997060,19.21
9007215,19.24
9017370,19.21
9027524,19.21
9037679,19.24
9047834,19.24
9057988,19.24
9068143,19.24
9078298,19.24
9088452,19.28
9098607,19.28
9108762,19.28
9118917,19.28
9129071,19.28
9139226,19.28
9149381,19.28
9159535,19.31
9169690,19.28
9179845,19.31
9190000,19.31
9200154,19.31
9210309,19.31
9220464,19.31
9230618,19.31
9240773,19.31
9250928,19.31
9261083,19.35
9271237,19.35
9281392,19.35
9291547,19.31
9301701,19.35
9311856,19.38
9322011,19.38
9332166,19.38
9342320,19.35
9352475,19.35
9362630,19.38
9372784,19.38
9382939,19.38
9393094,19.38
9403249,19.38
9413403,19.38
9423558,19.38
9433713,19.41
9443867,19.41
9454022,19.41
9464177,19.41
9474332,19.41
9484486,19.45
9494641,19.41
9504796,19.45
9514950,19.41
9525105,19.45
9535260,19.45
9545414,19.45
9555569,19.45
9565724,19.45
9575879,19.45
9586033,19.48
9596188,19.45
9606343,19.48
9616497,19.48
9626652,19.48
9636807,19.48
9646962,19.48
9657116,19.48
9667271,19.51
9677426,19.51
9687580,19.48
9697735,19.51
9707890,19.51
9718045,19.51
9728199,19.51
9738354,19.51
9748509,19.51
9758663,19.51
9768818,19.51
9778973,19.51
9789127,19.51
9799282,19.55
9809437,19.55
9819592,19.55
9829746,19.55
9839901,19.55
9850056,19.55
9860210,19.55
9870365,19.55
9880520,19.58
9890675,19.58
9900829,19.58
9910984,19.55
9921139,19.58
9931293,19.58
9941448,19.58
9951603,19.62
9961758,19.58
9971912,19.58
9982067,19.62
9992222,19.62
10002376,19.62
10012531,19.62
10022686,19.62
10032841,19.62
10042995,19.62
10053150,19.65
10063305,19.62
10073460,19.62
10083614,19.65
10093769,19.65
10103924,19.65
10114079,19.65
10124234,19.65
10134388,19.65
10144543,19.65
10154698,19.68
10164853,19.68
10175007,19.65
10185162,19.68
10195317,19.68
10205472,19.68
10215626,19.68
10225781,19.68
10235936,19.68
10246091,19.72
10256245,19.72
10266400,19.72
10276555,19.72
10286710,19.72
10296864,19.72
10307019,19.72
10317174,19.72
10327329,19.72
10337484,19.72
10347638,19.75
10357793,19.75
10367948,19.75
10378103,19.72
10388257,19.75
10398412,19.75
10408567,19.78
10418722,19.78
10428876,19.78
10439031,19.78
10449186,19.75
10459341,19.78
10469495,19.78
10479650,19.78
10489805,19.78
10499960,19.78
10510114,19.78
10520269,19.78
10530424,19.78
10540579,19.78
10550733,19.78
10560888,19.82
10571043,19.82
10581198,19.82
10591352,19.82
10601507,19.82
10611662,19.82
10621817,19.85
10631972,19.82
10642126,19.82
10652281,19.82
10662436,19.82
10672591,19.85
10682745,19.85
10692900,19.85
10703055,19.82
10713210,19.85
10723364,19.85
10733519,19.85
10743674,19.85
10753829,19.85
10763983,19.85
10774138,19.85
10784293,19.85
10794448,19.89
10804602,19.89
10814757,19.85
10824912,19.89
10835067,19.89
10845222,19.89
10855376,19.89
10865531,19.89
10875686,19.92
10885841,19.89
10895995,19.89
10906150,19.92
10916305,19.92
10926460,19.92
10936614,19.92
10946769,19.92
10956924,19.92
10967079,19.92
10977233,19.92
10987388,19.95
10997543,19.95
11007698,19.95
11017852,19.95
11028007,19.95
11038162,19.95
11048317,19.95
11058472,19.95
11068626,19.95
11078781,19.95
11088936,19.95
11099091,19.95
11109245,19.99
11119400,19.99
11129555,19.95
11139710,19.99
11149864,19.99
11160019,19.99
11170174,19.99
11180329,19.99
11190483,19.99
11200638,19.99
11210793,19.99
11220948,20.02
11231102,19.99
11241257,20.02
11251412,20.02
11261567,20.02
11271722,20.02
11281876,20.02
11292031,20.02
11302186,20.02
11312341,20.02
11322495,20.02
11332650,20.06
11342805,20.02
11352960,20.06
11363114,20.06
11373269,20.06
11383424,20.06
11393579,20.06
11403733,20.06
11413888,20.06
11424043,20.06
11434198,20.06
11444352,20.09
11454507,20.09
11464662,20.06
11474817,20.06
11484972,20.06
11495126,20.06
11505281,20.09
11515436,20.09
11525591,20.09
11535745,20.09
11545900,20.09
11556055,20.06
11566210,20.09
11576364,20.09
11586519,20.09
11596674,20.09
11606829,20.09
11616983,20.12
11627138,20.12
11637293,20.12
11647448,20.09
11657602,20.12
11667757,20.12
11677912,20.12
11688067,20.12
11698222,20.12
11708376,20.12
11718531,20.12
11728686,20.12
11738841,20.12
11748995,20.16
11759150,20.12
11769305,20.16
11779460,20.16
11789614,20.16
11799769,20.16
11809924,20.16
11820079,20.16
11830233,20.16
11840388,20.16
11850543,20.16
11860698,20.19
11870852,20.16
11881007,20.16
11891162,20.16
11901317,20.19
11911472,20.19
11921626,20.16
11931781,20.19
11941936,20.19
11952091,20.19
11962245,20.19
11972400,20.22
11982555,20.19
11992710,20.19
12002864,20.19
12013019,20.19
12023174,20.22
12033329,20.19
12043483,20.19
12053638,20.22
12063793,20.19
12073948,20.22
12084102,20.22
12094257,20.22
12104412,20.22
12114567,20.22
12124721,20.22
12134876,20.22
12145031,20.22
12155187,20.22
12165342,20.26
12175495,20.22
12185651,20.26
12195806,20.22
12205961,20.26
12216115,20.26
12226270,20.26
12236425,20.26
12246580,20.26
12256734,20.26
12266889,20.26
12277044,20.26
12287199,20.26
12297353,20.29
12307508,20.26
12317663,20.26
12327818,20.29
12337972,20.29
12348127,20.26
12358282,20.29
12368437,20.29
12378591,20.29
12388746,20.29
12398901,20.29
12409056,20.29
12419211,20.29
12429365,20.29
12439520,20.33
12449675,20.29
12459830,20.29
12469984,20.29
12480139,20.29
12490294,20.29
12500449,20.29
12510603,20.29
12520758,20.33
12530913,20.33
12541068,20.29
12551222,20.33
12561377,20.33
12571532,20.33
12581687,20.33
12591841,20.33
12601996,20.33
12612151,20.33
12622306,20.33
12632460,20.36
12642615,20.33
12652770,20.36
12662925,20.33
12673079,20.33
12683234,20.36
12693389,20.36
12703544,20.36
12713699,20.33
12723853,20.36
12734008,20.36
12744163,20.36
12754318,20.36
12764472,20.39
12774627,20.36
12784782,20.36
12794937,20.39
12805091,20.36
12815246,20.36
12825401,20.36
12835556,20.39
12845710,20.39
12855865,20.39
12866020,20.39
12876175,20.39
12886329,20.43
12896484,20.39
12906639,20.39
12916794,20.39
12926948,20.43
12937103,20.39
12947258,20.43
12957413,20.39
12967567,20.39
12977722,20.43
12987877,20.39
12998032,20.39
13008186,20.43
13018341,20.43
13028496,20.43
13038651,20.43
13048805,20.43
13058960,20.43
13069115,20.43
13079270,20.43
13089425,20.43
13099579,20.43
13109734,20.43
13119889,20.43
13130044,20.43
13140198,20.46
13150353,20.46
13160508,20.46
13170663,20.46
13180817,20.46
13190972,20.46
13201127,20.46
