Time [ms],Temp [C]
0,24.45
10155,24.28
20309,24.14
30464,23.98
40618,23.87
50773,16.58
60928,11.05
71082,9.26
81237,8.32
91391,7.78
101546,7.45
111701,7.21
121855,7.04
132010,6.87
142164,6.71
152319,6.67
162474,6.57
172628,6.54
182783,6.54
192937,6.47
203092,6.4
213247,6.4
223401,6.37
233556,6.37
243710,6.37
253865,6.37
264020,6.37
274174,6.37
284329,6.34
294483,6.4
304638,6.37
314793,6.37
324947,6.4
335102,6.4
345256,6.4
355411,6.44
365566,6.44
375720,6.47
385875,6.47
396030,6.5
406184,6.5
416339,6.54
426493,6.57
436648,6.57
446803,6.57
456957,6.61
467112,6.64
477266,6.64
487421,6.67
497576,6.71
507730,6.71
517885,6.74
528039,6.77
538194,6.81
548349,6.84
558503,6.84
568658,6.87
578813,6.91
588967,6.94
599122,6.98
609276,6.98
619431,7.01
629586,7.04
639740,7.08
649895,7.11
660049,7.14
670204,7.14
680359,7.21
690513,7.21
700668,7.28
710822,7.31
720977,7.31
731132,7.35
741286,7.38
751441,7.41
761595,7.45
771750,7.48
781905,7.51
792059,7.51
802214,7.58
812369,7.58
822523,7.61
832678,7.65
842832,7.68
852987,7.75
863142,7.75
873296,7.78
883451,7.82
893605,7.85
903760,7.88
913915,7.92
924069,7.95
934224,7.95
944378,8.02
954533,8.02
964688,8.09
974842,8.12
984997,8.15
995151,8.19
1005306,8.22
1015461,8.22
1025615,8.25
1035770,8.29
1045925,8.32
1056079,8.36
1066234,8.39
1076389,8.42
1086543,8.46
1096698,8.49
1106853,8.52
1117007,8.56
1127162,8.59
1137317,8.59
1147471,8.62
1157626,8.66
1167781,8.69
1177935,8.73
1188090,8.73
1198245,8.79
1208399,8.83
1218554,8.86
1228709,8.86
1238863,8.93
1249018,8.96
1259173,8.99
1269327,8.99
1279482,9.03
1289637,9.06
1299791,9.1
1309946,9.13
1320101,9.16
1330255,9.2
1340410,9.2
1350565,9.23
1360719,9.26
1370874,9.3
1381029,9.37
1391183,9.37
1401338,9.4
1411493,9.43
1421647,9.47
1431802,9.5
1441957,9.5
1452111,9.53
1462266,9.57
1472421,9.6
1482575,9.63
1492730,9.63
1502884,9.67
1513039,9.74
1523194,9.74
1533348,9.77
1543503,9.8
1553658,9.84
1563812,9.84
1573967,9.87
1584122,9.9
1594276,9.94
1604431,9.97
1614586,9.97
1624740,10
1634895,10.04
1645050,10.04
1655205,10.11
1665359,10.11
1675514,10.14
1685669,10.17
1695823,10.21
1705978,10.21
1716133,10.24
1726288,10.27
1736442,10.31
1746597,10.34
1756752,10.38
1766906,10.38
1777061,10.41
1787216,10.44
1797370,10.44
1807525,10.48
1817680,10.51
1827835,10.54
1837989,10.58
1848144,10.58
1858299,10.61
1868453,10.64
1878608,10.68
1888763,10.68
1898918,10.71
1909072,10.75
1919227,10.78
1929382,10.78
1939536,10.78
1949691,10.81
1959846,10.85
1970001,10.88
1980155,10.91
1990310,10.91
2000465,10.91
2010619,10.98
2020774,10.98
2030929,11.02
2041083,11.05
2051238,11.08
2061393,11.08
2071548,11.12
2081702,11.15
2091857,11.15
2102012,11.18
2112166,11.22
2122321,11.22
2132476,11.25
2142631,11.25
2152785,11.28
2162940,11.32
2173095,11.32
2183249,11.35
2193404,11.39
2203559,11.39
2213713,11.42
2223868,11.45
2234023,11.45
2244178,11.49
2254332,11.52
2264487,11.52
2274642,11.55
2284796,11.59
2294951,11.59
2305106,11.62
2315261,11.66
2325415,11.66
2335570,11.66
2345725,11.66
2355879,11.72
2366034,11.72
2376189,11.76
2386344,11.76
2396498,11.79
2406653,11.79
2416808,11.82
2426962,11.86
2437117,11.89
2447272,11.89
2457427,11.89
2467581,11.92
2477736,11.96
2487891,11.99
2498045,11.99
2508200,12.03
2518355,12.03
2528510,12.06
2538664,12.09
2548819,12.09
2558974,12.09
2569128,12.16
2579283,12.16
2589438,12.16
2599592,12.19
2609747,12.23
2619902,12.23
2630057,12.26
2640211,12.26
2650366,12.3
2660521,12.3
2670675,12.33
2680830,12.33
2690985,12.36
2701140,12.36
2711294,12.36
2721449,12.4
2731604,12.43
2741759,12.43
2751913,12.46
2762068,12.46
2772223,12.5
2782377,12.53
2792532,12.53
2802687,12.53
2812842,12.57
2822996,12.6
2833151,12.6
2843306,12.63
2853460,12.63
2863615,12.67
2873770,12.67
2883925,12.67
2894079,12.7
2904234,12.7
2914389,12.73
2924543,12.77
2934698,12.77
2944853,12.77
2955008,12.8
2965162,12.83
2975317,12.83
2985472,12.83
2995626,12.87
3005781,12.9
3015936,12.9
3026091,12.94
3036245,12.94
3046400,12.97
3056555,12.94
3066709,13
3076864,12.97
3087019,13
3097173,13.04
3107328,13.04
3117483,13.07
3127638,13.07
3137792,13.1
3147947,13.1
3158102,13.1
3168256,13.14
3178411,13.14
3188566,13.17
3198721,13.21
3208875,13.17
3219030,13.24
3229185,13.24
3239339,13.24
3249494,13.27
3259649,13.27
3269804,13.31
3279958,13.31
3290113,13.31
3300268,13.34
3310422,13.34
3320577,13.37
3330732,13.37
3340887,13.37
3351041,13.41
3361196,13.44
3371351,13.44
3381505,13.44
3391660,13.48
3401815,13.48
3411969,13.51
3422124,13.51
3432279,13.51
3442434,13.54
3452588,13.54
3462743,13.58
3472898,13.58
3483053,13.58
3493207,13.61
3503362,13.64
3513517,13.64
3523671,13.64
3533826,13.64
3543981,13.68
3554135,13.68
3564290,13.68
3574445,13.71
3584600,13.75
3594754,13.75
3604909,13.75
3615064,13.78
3625218,13.78
3635373,13.78
3645528,13.81
3655683,13.81
3665837,13.85
3675992,13.85
3686147,13.88
3696301,13.85
3706456,13.88
3716611,13.88
3726766,13.91
3736920,13.91
3747075,13.91
3757230,13.95
3767384,13.95
3777539,13.98
3787694,13.98
3797849,13.98
3808003,14.01
3818158,14.01
3828313,14.05
3838467,14.05
3848622,14.05
3858777,14.05
3868931,14.08
3879086,14.08
3889241,14.08
3899396,14.12
3909550,14.12
3919705,14.15
3929860,14.15
3940014,14.15
3950169,14.18
3960324,14.18
3970479,14.22
3980633,14.18
3990788,14.18
4000943,14.22
4011097,14.25
4021252,14.25
4031407,14.25
4041561,14.28
4051716,14.28
4061871,14.28
4072026,14.32
4082180,14.32
4092335,14.35
4102490,14.32
4112644,14.35
4122799,14.35
4132954,14.39
4143109,14.39
4153263,14.39
4163418,14.39
4173573,14.42
4183727,14.42
4193882,14.45
4204037,14.45
4214192,14.45
4224346,14.49
4234501,14.49
4244656,14.49
4254810,14.49
4264965,14.52
4275120,14.52
4285275,14.52
4295429,14.55
4305584,14.55
4315739,14.55
4325893,14.55
4336048,14.59
4346203,14.59
4356357,14.59
4366512,14.62
4376667,14.62
4386822,14.62
4396976,14.66
4407131,14.66
4417286,14.69
4427440,14.69
4437595,14.69
4447750,14.69
4457905,14.69
4468059,14.72
4478214,14.72
4488369,14.72
4498523,14.76
4508678,14.76
4518833,14.76
4528988,14.79
4539142,14.79
4549297,14.79
4559452,14.79
4569606,14.82
4579761,14.86
4589916,14.86
4600070,14.82
4610225,14.86
4620380,14.86
4630535,14.89
4640689,14.89
4650844,14.89
4660999,14.93
4671153,14.93
4681308,14.93
4691463,14.96
4701619,14.96
4711772,14.96
4721927,14.99
4732083,14.99
4742236,14.99
