Time [ms],Temp [C]
0,6.3
10155,6.3
20309,6.3
30464,6.44
40618,6.67
50773,6.84
60927,6.94
71082,7.01
81236,7.08
91391,7.11
101546,7.18
111700,7.21
121855,7.24
132009,7.28
142164,7.31
152319,7.38
162473,7.38
172628,7.38
182782,7.41
192937,7.45
203092,7.45
213246,7.48
223401,7.48
233556,7.55
243710,7.55
253865,7.55
264019,7.58
274174,7.65
284329,7.65
294483,7.68
304638,7.68
314792,7.72
324947,7.75
335102,7.75
345256,7.78
355411,7.82
365565,7.82
375720,7.85
385875,7.88
396029,7.92
406184,7.92
416338,7.95
426493,7.95
436648,7.98
446802,8.02
456957,8.02
467111,8.05
477266,8.05
487421,8.09
497575,8.09
507730,8.15
517885,8.15
528039,8.15
538194,8.19
548348,8.22
558503,8.25
568658,8.29
578812,8.32
588967,8.32
599121,8.39
609276,8.39
619431,8.42
629585,8.42
639740,8.46
649894,8.46
660049,8.52
670204,8.52
680358,8.56
690513,8.59
700667,8.62
710822,8.66
720977,8.66
731131,8.69
741286,8.73
751441,8.76
761595,8.76
771750,8.79
781904,8.83
792059,8.86
802214,8.89
812368,8.89
822523,8.93
832677,8.96
842832,8.96
852987,8.99
863141,9.03
873296,9.06
883450,9.06
893605,9.13
903760,9.13
913914,9.16
924069,9.2
934223,9.23
944378,9.23
954533,9.26
964687,9.3
974842,9.3
984997,9.33
995151,9.33
1005306,9.37
1015460,9.4
1025615,9.43
1035770,9.43
1045924,9.43
1056079,9.47
1066234,9.5
1076388,9.53
1086543,9.53
1096698,9.6
1106852,9.6
1117007,9.63
1127162,9.67
1137316,9.67
1147471,9.7
1157626,9.74
1167780,9.77
1177935,9.77
1188090,9.77
1198244,9.8
1208399,9.84
1218554,9.87
1228708,9.87
1238863,9.9
1249018,9.94
1259172,9.97
1269327,10
1279482,10
1289636,10
1299791,10.04
1309946,10.07
1320101,10.11
1330255,10.14
1340410,10.14
1350565,10.17
1360719,10.17
1370874,10.21
1381029,10.24
1391184,10.24
1401338,10.27
1411493,10.27
1421648,10.31
1431802,10.34
1441957,10.34
1452112,10.34
1462267,10.38
1472421,10.41
1482576,10.44
1492731,10.44
1502885,10.48
1513040,10.51
1523195,10.51
1533350,10.54
1543504,10.54
1553659,10.58
1563814,10.61
1573968,10.61
1584123,10.64
1594278,10.64
1604433,10.71
1614587,10.71
1624742,10.75
1634897,10.75
1645051,10.78
1655206,10.78
1665361,10.81
1675515,10.85
1685670,10.85
1695825,10.88
1705980,10.88
1716134,10.91
1726289,10.91
1736444,10.91
1746598,10.95
1756753,10.98
1766908,10.98
1777063,11.02
1787217,11.02
1797372,11.05
1807527,11.05
1817681,11.08
1827836,11.08
1837991,11.12
1848146,11.15
1858300,11.12
1868455,11.15
1878610,11.18
1888764,11.22
1898919,11.22
1909074,11.25
1919229,11.25
1929383,11.28
1939538,11.28
1949693,11.32
1959847,11.32
1970002,11.35
1980157,11.35
1990312,11.35
2000466,11.39
2010621,11.39
2020776,11.42
2030930,11.45
2041085,11.45
2051240,11.49
2061395,11.49
2071549,11.52
2081704,11.55
2091859,11.55
