"Time [ms]","Temp [C]"
0,16.04
10155,11.92
20309,10.00
30464,8.93
40618,8.29
50773,7.85
60928,7.55
71082,7.35
81237,7.21
91391,7.11
101546,7.01
111700,6.94
121855,6.91
132010,6.87
142164,6.84
152319,6.84
162473,6.84
172628,6.81
182783,6.81
192937,6.81
203092,6.84
213246,6.84
223401,6.87
233556,6.84
243710,6.87
253865,6.91
264020,6.94
274174,6.94
284329,6.98
294483,6.98
304638,7.01
314793,7.01
324947,7.04
335102,7.08
345256,7.11
355411,7.14
365566,7.18
375720,7.21
385875,7.21
396029,7.24
406184,7.28
416339,7.35
426493,7.35
436648,7.38
446802,7.41
456957,7.45
467112,7.48
477266,7.51
487421,7.55
497576,7.58
507730,7.65
517885,7.65
528039,7.68
538194,7.72
548349,7.75
558503,7.78
568658,7.82
578812,7.85
588967,7.88
599122,7.92
609276,7.95
619431,7.98
629585,8.02
639740,8.05
649895,8.09
660049,8.15
670204,8.19
680358,8.22
690513,8.22
700668,8.29
710822,8.32
720977,8.32
731131,8.39
741286,8.42
751441,8.46
761595,8.49
771750,8.52
781905,8.56
792059,8.59
802214,8.62
812368,8.66
822523,8.69
832678,8.73
842832,8.76
852987,8.79
863141,8.83
873296,8.89
883451,8.89
893605,8.93
903760,8.96
913914,8.99
924069,9.06
934224,9.06
944378,9.13
954533,9.16
964687,9.16
974842,9.23
984997,9.23
995151,9.26
1005306,9.30
1015461,9.33
1025615,9.37
1035770,9.40
1045925,9.43
1056079,9.47
1066234,9.53
1076389,9.53
1086543,9.57
1096698,9.60
1106852,9.63
1117007,9.67
1127162,9.74
1137316,9.74
1147471,9.77
1157626,9.80
1167780,9.84
1177935,9.87
1188090,9.90
1198244,9.94
1208399,9.97
1218554,10.00
1228708,10.04
1238863,10.07
1249018,10.07
1259173,10.11
1269327,10.17
1279482,10.17
1289637,10.21
1299791,10.24
1309946,10.27
1320101,10.31
1330256,10.34
1340410,10.38
1350565,10.41
1360720,10.44
1370874,10.48
1381029,10.48
1391184,10.51
1401339,10.54
1411493,10.58
1421648,10.61
1431803,10.61
1441957,10.64
1452112,10.68
1462267,10.71
1472422,10.75
1482576,10.78
1492731,10.81
