"Time [ms]","Temp [C]"
0,20.36
10155,16.95
20309,12.46
30464,10.21
40618,8.89
50773,8.02
60928,7.45
71082,7.04
81237,6.74
91391,6.50
101546,6.37
111700,6.24
121855,6.13
132010,6.07
142164,6.00
152319,5.97
162473,5.97
172628,5.90
182783,5.90
192937,5.90
203092,5.87
213246,5.90
223401,5.90
233556,5.87
243710,5.90
253865,5.93
264020,5.93
274174,5.93
284329,5.97
294483,6.00
304638,6.03
314793,6.07
324947,6.10
335102,6.10
345256,6.13
355411,6.17
365566,6.20
375720,6.24
385875,6.24
396029,6.27
406184,6.30
416339,6.37
426493,6.40
436648,6.40
446802,6.47
456957,6.50
467112,6.54
477266,6.54
487421,6.61
497576,6.64
507730,6.67
517885,6.71
528039,6.74
538194,6.77
548349,6.81
558503,6.84
568658,6.91
578812,6.91
588967,6.98
599122,7.01
609276,7.04
619431,7.08
629585,7.11
639740,7.14
649895,7.21
660049,7.24
670204,7.28
680359,7.31
690513,7.35
700668,7.38
710822,7.45
720977,7.48
731132,7.51
741286,7.55
751441,7.58
761595,7.65
771750,7.65
781905,7.72
792059,7.75
802214,7.78
812368,7.82
822523,7.88
832678,7.92
842832,7.95
852987,7.98
863141,8.02
873296,8.09
883451,8.09
893605,8.15
903760,8.19
913915,8.25
924069,8.29
934224,8.32
944378,8.36
954533,8.39
964688,8.42
974842,8.49
984997,8.52
995151,8.56
1005306,8.59
1015461,8.62
1025615,8.66
1035770,8.73
1045925,8.76
1056079,8.76
1066234,8.83
1076389,8.86
1086543,8.89
1096698,8.93
1106853,8.96
1117007,9.03
1127162,9.03
1137317,9.06
1147471,9.10
1157626,9.16
1167781,9.20
1177935,9.23
1188090,9.26
1198245,9.30
1208399,9.33
1218554,9.37
1228709,9.43
1238863,9.43
1249018,9.50
1259173,9.53
1269327,9.53
1279482,9.57
1289637,9.63
1299791,9.67
1309946,9.70
1320101,9.74
1330255,9.77
1340410,9.80
1350565,9.84
1360719,9.87
1370874,9.90
1381029,9.94
1391183,9.97
1401338,10.00
1411493,10.04
1421647,10.07
1431802,10.11
1441957,10.14
1452111,10.17
1462266,10.21
1472421,10.24
1482576,10.27
1492730,10.31
1502885,10.31
1513040,10.38
1523194,10.41
1533349,10.44
1543504,10.48
1553659,10.51
1563813,10.54
1573968,10.58
1584123,10.61
1594277,10.64
1604432,10.68
1614587,10.71
1624742,10.75
1634896,10.78
1645051,10.81
1655206,10.81
1665360,10.88
1675515,10.88
1685670,10.91
1695825,10.95
1705979,10.98
1716134,11.02
1726289,11.05
1736443,11.08
1746598,11.12
1756753,11.15
1766907,11.15
1777062,11.18
1787217,11.22
1797372,11.25
1807526,11.28
1817681,11.32
1827836,11.35
1837990,11.35
1848145,11.39
1858300,11.42
1868455,11.45
1878609,11.49
1888764,11.52
1898919,11.55
1909073,11.55
1919228,11.59
1929383,11.66
1939538,11.66
1949692,11.69
1959847,11.72
1970002,11.76
