Time [ms],Temp [C]
0,11.52
10155,9.26
20309,8.09
30464,7.41
40618,6.94
50773,6.64
60927,6.4
71082,6.24
81237,6.13
91391,6.07
101546,6.03
111700,5.97
121855,6
132009,6
142164,5.97
152319,5.97
162473,6
172628,6
182783,6.03
192937,6.07
203092,6.1
213246,6.13
223401,6.13
233556,6.2
243710,6.24
253865,6.27
264019,6.3
274174,6.34
284329,6.37
294483,6.44
304638,6.5
314792,6.54
324947,6.57
335102,6.64
345256,6.67
355411,6.71
365565,6.77
375720,6.81
385875,6.87
396029,6.91
406184,6.98
416339,7.04
426493,7.08
436648,7.14
446802,7.18
456957,7.24
467112,7.28
477266,7.35
487421,7.41
497575,7.45
507730,7.51
517885,7.55
528039,7.65
538194,7.68
548348,7.75
558503,7.78
568658,7.82
578812,7.88
588967,7.92
599121,7.95
609276,8.02
619431,8.09
629585,8.12
639740,8.15
649894,8.22
660049,8.29
670204,8.36
680358,8.36
690513,8.42
700668,8.49
710822,8.52
720977,8.56
731131,8.62
741286,8.69
751441,8.73
761595,8.76
771750,8.83
781904,8.86
792059,8.89
802214,8.96
812368,8.96
822523,9.03
832677,9.1
842832,9.13
852987,9.2
863141,9.23
873296,9.26
883451,9.33
893605,9.33
903760,9.43
913914,9.47
924069,9.47
934224,9.53
944378,9.57
954533,9.63
964687,9.67
974842,9.7
984997,9.77
995151,9.8
1005306,9.84
1015460,9.9
1025615,9.94
1035770,10
1045925,10.04
1056079,10.07
1066234,10.11
1076389,10.14
1086543,10.21
1096698,10.24
1106853,10.27
1117008,10.31
1127162,10.34
1137317,10.41
1147472,10.44
1157626,10.48
1167781,10.51
1177936,10.58
1188091,10.61
1198245,10.64
1208400,10.71
1218555,10.71
1228709,10.78
1238864,10.81
1249019,10.85
1259174,10.88
1269328,10.91
1279483,10.95
1289638,11.02
1299792,11.05
1309947,11.08
1320102,11.12
1330256,11.15
1340411,11.22
1350566,11.22
1360721,11.28
1370875,11.32
1381030,11.35
1391185,11.39
1401339,11.45
1411494,11.49
1421649,11.49
1431804,11.55
1441958,11.55
1452113,11.62
1462268,11.66
1472422,11.69
1482577,11.72
1492732,11.76
1502887,11.79
1513041,11.86
1523196,11.89
1533351,11.89
1543505,11.96
1553660,11.99
1563815,12.03
1573970,12.06
1584124,12.09
1594279,12.13
1604434,12.16
1614588,12.19
1624743,12.23
1634898,12.26
1645053,12.3
1655207,12.33
1665362,12.36
1675517,12.4
1685671,12.43
1695826,12.46
1705981,12.5
1716136,12.53
1726290,12.6
1736445,12.6
1746600,12.67
1756754,12.67
1766909,12.73
1777064,12.73
1787219,12.77
1797373,12.8
1807528,12.87
1817683,12.87
1827837,12.9
1837992,12.94
1848147,12.97
1858301,13
1868456,13.04
1878611,13.07
1888766,13.1
1898920,13.14
1909075,13.17
1919230,13.21
1929384,13.21
1939539,13.27
1949694,13.27
1959849,13.34
1970003,13.34
1980158,13.37
1990313,13.41
2000467,13.44
2010622,13.48
2020777,13.48
2030932,13.51
2041086,13.54
