Time [ms],Temp [C]
0,5.66
10155,5.46
20309,5.29
30464,5.23
40618,5.16
50773,5.09
60928,5.09
71082,5.06
81237,5.06
91392,5.06
101546,5.06
111701,5.06
121855,5.06
132010,5.09
142165,5.09
152319,5.09
162474,5.09
172629,5.13
182783,5.13
192938,5.16
203092,5.16
213247,5.16
223402,5.19
233556,5.23
243711,5.23
253865,5.26
264020,5.29
274175,5.29
284329,5.33
294484,5.36
304638,5.39
314793,5.43
324948,5.43
335102,5.43
345257,5.5
355411,5.53
365566,5.53
375721,5.56
385875,5.56
396030,5.63
406185,5.66
416339,5.66
426494,5.66
436648,5.73
446803,5.73
456958,5.76
467112,5.8
477267,5.83
487421,5.87
497576,5.9
507731,5.9
517885,5.97
528040,6
538194,6.03
548349,6.07
558504,6.1
568658,6.1
578813,6.13
588967,6.17
599122,6.2
609277,6.24
619431,6.27
629586,6.3
639741,6.34
649895,6.37
660050,6.4
670204,6.44
680359,6.47
690514,6.5
700668,6.54
710823,6.57
720977,6.61
731132,6.61
741287,6.67
751441,6.71
761596,6.74
771750,6.77
781905,6.81
792060,6.84
802214,6.87
812369,6.87
822524,6.91
832678,6.98
842833,7.01
852987,7.04
863142,7.04
873297,7.11
883451,7.14
893606,7.18
903760,7.21
913915,7.24
924070,7.24
934224,7.28
944379,7.31
954533,7.38
964688,7.41
974843,7.41
984997,7.48
995152,7.51
1005306,7.55
1015461,7.58
1025616,7.61
1035770,7.65
1045925,7.68
1056080,7.72
1066234,7.75
1076389,7.78
1086544,7.82
1096698,7.85
1106853,7.88
1117008,7.92
1127162,7.95
1137317,7.98
1147472,8.02
1157626,8.05
1167781,8.09
1177936,8.12
1188090,8.15
1198245,8.19
1208400,8.22
1218554,8.25
1228709,8.25
1238864,8.32
1249018,8.36
1259173,8.39
1269328,8.42
1279482,8.46
1289637,8.46
1299792,8.52
1309946,8.56
1320101,8.56
1330256,8.62
1340410,8.62
1350565,8.66
1360720,8.69
1370874,8.73
1381029,8.76
1391184,8.79
1401338,8.83
1411493,8.86
1421648,8.89
1431802,8.93
1441957,8.93
1452112,8.96
1462266,9.03
1472421,9.06
1482575,9.1
1492730,9.13
1502885,9.13
1513039,9.16
1523194,9.2
1533349,9.23
1543503,9.26
