Time [ms],Temp [C]
0,22.59
10155,22.59
20309,22.59
30464,22.59
40618,22.59
50773,22.56
60928,22.59
71082,22.59
81237,22.59
91392,22.59
101546,22.59
111701,22.59
121855,22.56
132010,22.56
142165,22.59
152319,22.59
162474,22.59
172629,22.59
182783,22.56
192938,22.56
203093,22.56
213247,22.56
223402,22.59
233557,22.56
243711,22.56
253866,22.56
264021,22.56
274175,22.59
284330,22.56
294485,22.56
304639,22.56
314794,22.56
324949,22.56
335103,22.52
345258,22.56
355413,22.56
365567,22.56
375722,22.56
385876,22.52
396031,22.56
406186,22.56
416340,22.56
426495,22.56
436650,22.56
446804,22.56
456959,22.56
467114,22.52
477268,22.56
487423,22.56
497578,22.52
507732,22.52
517887,22.56
528042,22.56
538196,22.59
548351,22.66
558506,22.66
568660,22.69
578815,22.69
588970,22.72
599124,22.72
609279,22.76
